employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
65438,Sales & Marketing,Bangalore,Master's & above,f,sourcing,1,35,5.0,8,0,49.0,0
65141,Operations,Hyderabad,Bachelor's,m,other,1,30,5.0,4,0,60.0,0
7513,Sales & Marketing,Pune,Bachelor's,m,sourcing,1,34,3.0,7,0,50.0,0
2542,Sales & Marketing,Chennai,Bachelor's,m,other,2,39,1.0,10,0,50.0,0
48945,Technology,Mumbai,Bachelor's,m,other,1,45,3.0,2,0,73.0,0
58896,Analytics,Delhi,Bachelor's,m,sourcing,2,31,3.0,7,0,85.0,0
20379,Operations,Noida,Bachelor's,f,other,1,31,3.0,5,0,59.0,0
16290,Operations,Gurgaon,Master's & above,m,sourcing,1,33,3.0,6,0,63.0,0
73202,Analytics,Noida,Bachelor's,m,other,1,28,4.0,5,0,83.0,0
28911,Sales & Marketing,Kolkata,Master's & above,m,sourcing,1,32,5.0,5,0,54.0,0
29934,Technology,Chennai,,m,sourcing,1,30,,1,0,77.0,0
49017,Sales & Marketing,Bangalore,Bachelor's,f,sourcing,1,35,5.0,3,0,50.0,1
60051,Sales & Marketing,Ahmedabad,Bachelor's,m,sourcing,1,49,5.0,5,0,49.0,0
38401,Technology,Jaipur,Master's & above,m,other,2,39,3.0,16,0,80.0,0
77040,R&D,Delhi,Master's & above,m,sourcing,1,37,3.0,7,0,84.0,0
43931,Operations,Bangalore,Bachelor's,m,other,1,37,1.0,10,0,60.0,0
7152,Technology,Delhi,Bachelor's,m,other,1,38,3.0,5,0,77.0,0
9403,Sales & Marketing,Lucknow,Bachelor's,m,other,1,34,1.0,4,0,51.0,0
17436,Sales & Marketing,Lucknow,Bachelor's,m,other,1,34,5.0,8,0,46.0,0
54461,Operations,Kochi,Bachelor's,m,other,1,37,3.0,9,0,59.0,0
12067,Procurement,Thiruvananthapuram,Bachelor's,m,other,1,35,3.0,7,0,75.0,0
33332,Operations,Kochi,,m,sourcing,1,41,4.0,11,0,57.0,0
58789,Finance,Indore,Bachelor's,f,other,1,28,3.0,4,0,63.0,0
71177,Procurement,Bhubaneswar,Bachelor's,m,other,1,27,,1,0,70.0,0
52057,Finance,Hyderabad,Master's & above,m,sourcing,2,39,5.0,7,0,59.0,0
26585,Technology,Hyderabad,Bachelor's,m,other,1,27,5.0,3,0,83.0,0
37749,Procurement,Mumbai,Bachelor's,m,other,1,31,5.0,4,0,68.0,0
2370,Technology,Mumbai,Bachelor's,m,other,1,33,4.0,4,0,79.0,0
8219,Analytics,Bhubaneswar,Bachelor's,m,other,1,29,5.0,3,0,80.0,0
