condição,protocolo,ttfb_mean_ms,ttfb_std_ms,ttfb_n,mosaico_mean_ms,mosaico_std_ms,mosaico_n
baseline,HTTP/1.1,4.8,1.03,10,400.5,12.2,10
baseline,HTTP/2,4.06,0.29,10,400.4,17.0,10
baseline,HTTP/3,5.27,1.55,10,400.5,9.4,10
delay100_loss2,HTTP/1.1,429.43,186.23,10,10866.5,520.1,10
delay100_loss2,HTTP/2,331.18,68.58,10,11007.5,315.1,10
delay100_loss2,HTTP/3,208.85,1.41,10,10832.4,435.9,10
delay_100ms,HTTP/1.1,307.7,0.55,10,10288.9,9.5,10
delay_100ms,HTTP/2,308.7,0.5,10,10391.5,8.4,10
delay_100ms,HTTP/3,209.27,1.22,10,10194.9,16.3,10
delay_200ms,HTTP/1.1,607.85,1.55,10,20287.5,12.9,10
delay_200ms,HTTP/2,608.84,0.66,10,20496.1,9.8,10
delay_200ms,HTTP/3,408.95,0.87,10,20102.2,13.6,10
delay_20ms,HTTP/1.1,67.28,1.29,10,2268.0,15.3,10
delay_20ms,HTTP/2,68.05,1.05,10,2297.3,8.5,10
delay_20ms,HTTP/3,48.35,1.43,10,2248.2,16.1,10
delay_50ms,HTTP/1.1,158.1,0.96,10,5289.5,21.6,10
delay_50ms,HTTP/2,159.05,1.22,10,5337.8,15.4,10
delay_50ms,HTTP/3,109.04,1.21,10,5246.0,9.3,10
loss_01,HTTP/1.1,4.61,1.21,10,398.0,8.8,10
loss_01,HTTP/2,4.01,0.2,10,409.1,9.7,10
loss_01,HTTP/3,5.79,1.72,10,417.6,71.0,10
loss_1,HTTP/1.1,25.73,61.49,10,742.1,158.6,10
loss_1,HTTP/2,5.05,1.95,10,552.4,137.0,10
loss_1,HTTP/3,5.65,0.54,10,619.5,235.1,10
loss_2,HTTP/1.1,4.3,1.15,10,832.8,300.9,10
loss_2,HTTP/2,4.12,0.97,10,816.5,458.8,10
loss_2,HTTP/3,5.06,1.05,10,949.3,229.1,10
loss_5,HTTP/1.1,25.51,60.98,10,1770.6,502.0,10
loss_5,HTTP/2,26.9,61.08,10,1338.8,437.8,10
loss_5,HTTP/3,11.12,12.71,10,1328.6,549.0,10
